PubMed ID	Title	accuracySource	accuracyMetric	speedSource	Method	accuracyRank	speedRank	numMethods	Data set (if applicable)	Bias	Acc comment	Speed comment
17151342	Freyhult, E. K., Bollback, J. P., & Gardner, P. P. (2007). Exploring genomic dark matter: a critical assessment of the performance of homology search methods on noncoding RNA. Genome research, 17(1), 117-125.	Fig. 2A	median rank(MCC)	Fig. 2C	Rsearch	1	11	12			Verified	Verified
					Infernal	2	12				Verified	Verified
					Ravenna	3	9				Verified	Verified
					SAM	4	8				Verified	Verified
					hmmer	6.5	6				Verified	Verified
					wu-blast	6.5	7				Verified	Verified
					ssearch	6.5	5				Verified	Verified
					fasta	6.5	2				Verified	Verified
					ncbi-blast	9	3				Verified	Verified
					paralign	10	1				Verified	Verified
					rsmatch	11	10				Verified	Verified
					erpin	12	4				Verified	Verified
		Fig. 2B	median rank(MCC)	Fig. 2C	rsearch	2	11	12			Verified	Verified
					infernal	1	12				Verified	Verified
					ravenna	3	9				Verified	Verified
					SAM	4	8				Verified	Verified
					hmmer	5.5	6				Fixed	Verified
					wu-blast	10	7				Verified	Verified
					ssearch	5.5	5				Fixed	Verified
					fasta	8	2				Verified	Verified
					ncbi-blast	8	3				Verified	Verified
					paralign	8	1				Verified	Verified
					rsmatch	11	10				Verified	Verified
					erpin	12	4				Verified	Verified
		Fig. 3A	median rank(MCC)	Fig. 3C	ssearch	3	5	5			Fixed	Verified
					fasta	1	3				Verified	Verified
					wu-blast	3	1				Fixed	Verified
					ncbi-blast	3	4				Fixed	Verified
					paralign	5	2				Verified	Verified
		Fig. 3B	median rank(MCC)	Fig. 3C	ssearch	1	5	5			Verified	Verified
					fasta	3	3				Verified	Verified
					wu-blast	3	1				Verified	Verified
					ncbi-blast	3	4				Verified	Verified
					paralign	5	2				Verified	Verified
20047664	Swenson, M. S., Barbançon, F., Warnow, T., & Linder, C. R. (2010). A simulation study comparing supertree and combined analysis methods using SMIDGen. Algorithms for Molecular Biology, 5(1), 1.	Fig. 3c/f	Average topological error rate	Table 3, 1000 taxa, 20% SF, 1 SG.	wMRP-MP	5	5	5			Verified	Verified
 					MRP-MP	4	2				Verified	Verified
					CA-MP	3	3				Verified	Verified
					MRP-ML	2	1				Verified	Verified
					CA-ML	1	4				Verified	Verified
25198770	Jünemann S, Prior K, Albersmeier A, Albaum S, Kalinowski J, Goesmann A, Stoye J, Harmsen D. GABenchToB: a genome assembly benchmark tuned on bacteria and benchtop sequencers. PloS one. 2014 Sep 8;9(9):e107014.	Fig. 2A S.aureus (COL) Mis2x150bp	NGA50	Fig. 3A	abyss	4	4	9	S.aureus (COL) Mis2x150bp	No	Fixed	Verified
					clc	7.5	1				Fixed	Verified
					soap2	3	2				Fixed	Verified
					velvet	2	3				Fixed	Verified
					spades	1	6				Fixed	Verified
					celera	7.5	9				Fixed	Verified
					newbler	5	7				Fixed	Verified
					seqman	9	5				Fixed	Verified
					mira	6	8				Fixed	Verified
		Fig. 2B S.aureus (COL) Mis2x150bp	Misassemblies	Fig. 3A	abyss	6	4	9			Verified	Verified
					clc	4	1				Verified	Verified
					soap2	7	2				Verified	Verified
					velvet	3	3				Verified	Verified
					spades	1	6				Verified	Verified
					celera	9	9				Verified	Verified
					newbler	8	7				Verified	Verified
					seqman	2	5				Verified	Verified
					mira	5	8				Verified	Verified
		Fig. 2A E.coli (SAKAI) Mis2x150bp	NGA50	Fig. 3A	abyss	4	4	9	E.coli (SAKAI) Mis2x150bp		Fixed	Verified
					clc	4	1				Fixed	Verified
					soap2	4	3				Fixed	Verified
					velvet	4	2				Fixed	Verified
					spades	1	6				Fixed	Verified
					celera	4	9				Fixed	Verified
					newbler	8	5				Fixed	Verified
					seqman	7	7				Fixed	Verified
					mira	9	8				Fixed	Verified
		Fig. 2B E.coli (SAKAI) Mis2x150bp	Misassemblies	Fig. 3A	abyss	4	4	9			Verified	Verified
					clc	3	1				Verified	Verified
					soap2	9	3				Verified	Verified
					velvet	6	2				Verified	Verified
					spades	1	6				Verified	Verified
					celera	5	9				Verified	Verified
					newbler	8	5				Verified	Verified
					seqman	2	7				Verified	Verified
					mira	7	8				Verified	Verified
		Fig. 2A S.aureus (COL) Mis2x250bp	NGA50	Fig. 3A	abyss	7	4	9	S.aureus (COL) Mis2x250bp		Fixed	Verified
					clc	4	1				Fixed	Verified
					soap2	8	2				Fixed	Verified
					velvet	6	3				Fixed	Verified
					spades	3	7				Fixed	Verified
					celera	5	9				Fixed	Verified
					newbler	1	5				Fixed	Verified
					seqman	9	6				Fixed	Verified
					mira	2	8				Fixed	Verified
		Fig. 2B S.aureus (COL) Mis2x250bp 	Misassemblies	Fig. 3A	abyss	4.5	4	9			Verified	Verified
					clc	3	1				Verified	Verified
					soap2	6	2				Verified	Verified
					velvet	7	3				Verified	Verified
					spades	1.5	7				Verified	Verified
					celera	4.5	9				Verified	Verified
					newbler	9	5				Verified	Verified
					seqman	1.5	6				Verified	Verified
					mira	8	8				Verified	Verified
		Fig. 2A E.coli (SAKAI) Mis2x250bp	NGA50	Fig. 3A	abyss	5	4	9	E.coli (SAKAI) Mis2x250bp		Fixed	Verified
					clc	2	1				Fixed	Verified
					soap2	9	3				Fixed	Verified
					velvet	8	2				Fixed	Verified
					spades	2	7				Fixed	Verified
					celera	6	9				Fixed	Verified
					newbler	2	5				Fixed	Verified
					seqman	7	6				Fixed	Verified
					mira	4	8				Fixed	Verified
		Fig. 2B E.coli (SAKAI) Mis2x250bp	Misassemblies	Fig. 3A	abyss	5	4	9			Verified	Verified
					clc	2	1				Verified	Verified
					soap2	9	3				Verified	Verified
					velvet	8	2				Verified	Verified
					spades	1	7				Verified	Verified
					celera	3	9				Verified	Verified
					newbler	6	5				Verified	Verified
					seqman	4	6				Verified	Verified
					mira	7	8				Verified	Verified
		Fig. 2A M.tuberculosis (H37) Mis2x250bp	NGA50	Fig. 3A	abyss	6	5	9	M.tuberculosis (H37) Mis2x250bp		Fixed	Verified
					clc	4	1				Fixed	Verified
					soap2	5	3				Fixed	Verified
					velvet	7.5	2				Fixed	Verified
					spades	3	9				Fixed	Verified
					celera	1	7				Fixed	Verified
					newbler	2	4				Fixed	Verified
					seqman	7.5	6				Fixed	Verified
					mira	9	8				Fixed	Verified
		Fig. 2B M.tuberculosis (H37) Mis2x250bp	Misassemblies	Fig. 3A	abyss	3	5	9			Verified	Verified
					clc	2	1				Verified	Verified
					soap2	9	3				Verified	Verified
					velvet	8	2				Verified	Verified
					spades	4	9				Verified	Verified
					celera	5	7				Verified	Verified
					newbler	7	4				Verified	Verified
					seqman	1	6				Verified	Verified
					mira	6	8				Verified	Verified
		Fig. 2A S.aureus (COL) PGM200bp	NGA50	Fig. 3A	abyss	5	4	9	S.aureus (COL) PGM200bp		Fixed	Verified
					clc	4	1.5				Fixed	Verified
					soap2	9	1.5				Fixed	Verified
					velvet	7	3				Fixed	Verified
					spades	2	8				Fixed	Verified
					celera	6	7				Fixed	Verified
					newbler	3	5				Fixed	Verified
					seqman	8	6				Fixed	Verified
					mira	1	9				Fixed	Verified
		Fig. 2B S.aureus (COL) PGM200bp	Misassemblies	Fig. 3A	abyss	1	4	9			Verified	Verified
					clc	6	1.5				Verified	Verified
					soap2	5	1.5				Verified	Verified
					velvet	2.5	3				Verified	Verified
					spades	7	8				Verified	Verified
					celera	4	7				Verified	Verified
					newbler	2.5	5				Verified	Verified
					seqman	9	6				Verified	Verified
					mira	8	9				Verified	Verified
