tool	yearPublished	journal	impactFactor(2017)	Journal H5-index(2017)	totalCitations(2017)	totalCitations(2020)	H-index: (Corresponding author)(2017)	M-index (Corresponding author)(2017)	H (2020)	M (2020)	Versions	Commits (Github)	Contributers (Github)	Github repo	fullCite	
abyss	2009; 2009	Genome research; Bioinformatics	14.630	107	1410; 176	951	Inanc Birol:36	Inanc Birol:4.5	Inanc Birol:57        	2.19	2.24	5475	29	https://github.com/bcgsc/abyss/	Simpson, Jared T., Kim Wong, Shaun D. Jackman, Jacqueline E. Schein, Steven JM Jones, and Inanç Birol. "ABySS: a parallel assembler for short read sequence data." Genome research 19, no. 6 (2009): 1117-1123.; Birol, Inanç, Shaun D. Jackman, Cydney B. Nielsen, Jenny Q. Qian, Richard Varhol, Greg Stazyk, Ryan D. Morin et al. "De novo transcriptome assembly with ABySS." Bioinformatics 25, no. 21 (2009): 2872-2877.	
adtex	2014	BMC Genomics	NA	NA	NA	74	NA		Saman K Halgamuge:46	1.59	2	NA	NA	NA	Amarasinghe KC, Li J, Hunter SM, Ryland GL, Cowin PA, Campbell IG, et al. Inferring copy number and genotype in tumour exome data. BMC Genomics. 2014;15:732.	
angle	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	
antepiseeker	2010	BMC research notes	NA	38	34	115	NA	NA	NA	NA	2	31	1	https://github.com/wyp1125/AntEpiSeeker2	Wang, Y., Liu, X., Robbins, K., & Rekaya, R. (2010). AntEpiSeeker: detecting epistatic interactions for case-control studies using a two-stage ant colony optimization algorithm. BMC research notes, 3(1), 117.	
apg	2008	BMC bioinformatics	2.576	74	166	317	Antti Airola:13	Antti Airola:1.86	Antti Airola:24	1.85	NA	NA	NA	NA	Airola, Antti, Sampo Pyysalo, Jari Björne, Tapio Pahikkala, Filip Ginter, and Tapio Salakoski. "All-paths graph kernel for protein-protein interaction extraction with evaluation of cross-corpus learning." BMC bioinformatics 9, no. Suppl 11 (2008): S2.	
arriba	NA	NA	NA	NA	NA	NA	NA		NA	NA	1	374	2	https://github.com/suhrig/arriba	NA	
asgenseng	2015	Nucleic acids research	NA	NA	NA	16	NA		NA	NA	1	NA	NA	NA	Wang W, Wang W, Sun W, Crowley JJ, Szatkiewicz JP. Allele-specific copy-number discovery from whole-genome and whole-exome sequencing. Nucleic acids research. 2015 Aug 18;43(14):e90-.	
baliphy	2006	Bioinformatics	NA	NA	NA	255	NA		Marc A. Suchard:80	3.48	3.5	14775	5	https://github.com/bredelings/BAli-Phy	Suchard MA, Redelings BD. BAli-Phy: simultaneous Bayesian inference of alignment and phylogeny. Bioinformatics. 2006 Aug 15;22(16):2047-8.	
barry	1987	Statistical Science	2.738	30	181	224	NA	NA	NA	NA	NA	NA	NA	NA	Barry, D., & Hartigan, J. A. (1987). Statistical analysis of hominoid molecular evolution. Statistical Science, 191-207.	
batalign	2015	Nucleic acids research	NA	NA	NA	9	NA		Wing-Kin Sung (宋永健):65	2.41	NA	NA	NA	NA	Lim JQ, Tennakoon C, Guan P, Sung WK. BatAlign: an incremental method for accurate alignment of sequencing reads. Nucleic acids research. 2015 Jul 13;43(16):e107-.	
