PubMed ID	Title	accuracySource	accuracyMetric	speedSource	Method	accuracyRank	speedRank	numMethods	Data set (if applicable)	Bias	Acc comment	Speed comment
31465436	A benchmark of computational CRISPR-Cas9 guide design methods.	Table 2	Precision	Table 3(550k)	FlashFry	1	6	11				
					WU-CRISPR	2	7					
					CRISPR-DO	3	4					
					CHOPCHOP	4	3					
					SSC	5	1					
					sgRNAScorer2	6	11					
					CRISPOR	7	9					
					TUSCAN	8	5					
					PhytoCRISP-Ex	9	10					
					mm10db	10	2					
					Cas-Designer	11	8					
30717772	A comparative evaluation of hybrid error correction methods for error-prone long reads.	Table S2a(S. cerevisiae 20x)	Accuracy	Table S5a(S. cerevisiae 20x)	Jabba	1	1	10				
					pacBioToCA	2	6					
					ECTools	3	8					
					Nanocorr	4	10					
					HALC	5	4					
					LoRDEC	6	3					
					FMLRC	7	2					
					proovread	8	7					
					CoLoRMap	9	5					
					LSC	10	9					
		Table S2b(S. cerevisiae 20x)	Accuracy	Table S5b(S. cerevisiae 20x)	Jabba	1	2					
					pacBioToCA	2	6					
					ECTools	3	8					
					Nanocorr	4	9					
					HALC	5	3					
					FMLRC	6	1					
					LoRDEC	7	5					
					proovread	8	7					
					CoLoRMap	9	4					
					LSC	10	10					
30936559	A comparison of single-cell trajectory inference methods.	Supplementary Figure 3a	Mean Overall score	Supplementary Figure 4b	angle	7	2	48				
					calista	45	41					
					cellrouter	38	27					
					celltrails	34	37					
					celltreegibbs	44	42					
					celltreemaptpx	19	33					
					celltreevem	28	24					
					component1	11	1					
					dpt	27	7					
					elpigraph	32	20					
					elpigraphlinear	18	12					
					elpigraphcycle	21	14					
					embeddr	10	19					
					fateid	4	21					
					forks	37	5					
					gpfates	39	43					
					grandprix	40	40					
					matcher	16	11					
					merlot	41	44					
					mfa	24	30					
					monocleddrtree	13	28					
					monocleica	17	36					
					mpath	30	39					
					mst	8	3					
					ouija	47	46					
					ouijaflow	33	17					
					paga	5	13					
					pagatree	2	15					
					pcreode	14	22					
					phenopath	20	25					
					pseudogp	43	47					
					raceid_stemid	31	29					
					recat	35	32					
					scimitar	48	48					
					scorpius	3	6					
					scoup	46	45					
					scuba	23	34					
					sincell	29	26					
					slice	15	35					
					slicer	42	23					
					slingshot	1	10					
					stemnet	12	9					
					topslam	22	38					
					tscan	6	8					
					urd	36	31					
					wanderlust	25	16					
					waterfall	9	4					
					wishbone	26	18					
31874603	A systematic evaluation of copy number alterations detection methods on real SNP array and deep sequencing data.	Table 3 	Average Recall rate	Fig. 13	CNVnorm	1.5	7	9				
					FREEC	1.5	1.5					
					BICseq	3	1.5					
					CNVseq	4	8					
					Varscan	5	9					
					ReadDepth	6	3					
					CNVnator	7	4.5					
					rSWseg	8	4.5					
					RDXplorer	9	6					
31639029	Accuracy assessment of fusion transcript detection via read-mapping and de novo fusion transcript assembly-based methods.	Fig. 4a	Rank median accuracy	Fig. 4b	Arriba	2	3	23				
					ChimeraScan	18	15					
					ChimPipe	5	14					
					deFuse	22	12					
					EricScript	23	8					
					FusionCatcher	4	6					
					FusionHunter	19	9					
					InFusion	9	20					
					JAFFA-Assembly	17	13					
					JAFFA-Direct	16	10					
					JAFFA-Hybrid	20	21					
					MapSplice	10	17					
					nFuse	21	7					
					Pizzly	14	1					
					PRADA	15	11					
					SOAP-fuse	7	16					
					STARChip	11	2					
					STAR-Fusion	1	5					
					STAR-SEQR	3	4					
					TopHat-Fusion	12	18					
					TrinityFusion-C	6	19					
					TrinityFusion-D	13	23					
					TrinityFusion-UC	8	22					
28569140	An evaluation of copy number variation detection tools for cancer using whole exome sequencing data.	Table 4	mean(sqrt(sens*spc))	Fig. 4	ExomeCNV	1	3	5				
					VarScan2	2	4					
					CONTRA	3	2					
					ADTEx	4	5					
					cn.MOPS	5	1					
28052134	Assessment of Common and Emerging Bioinformatics Pipelines for Targeted Metagenomics.	Fig 7.	Genus F-measure	Fig 9 (real, walltime)	BMP	4	4	5				
					CLARK	1	2					
					kraken	3	1					
					mothur	5	5					
					QIIME-SS	2	3					
32183840	Benchmarking of computational error-correction methods for next-generation sequencing data.	Figure S10a&b.	sum(gain)	Figure S11a.	Bless	1	3	10				
					Musket	2	6					
					Lighter	3	2					
					Fiona	4	9					
					SGA	5	7.5					
					BFC	6	4					
					RECKONER	7	1.5					
					Coral	8	7.5					
					Racer	9	5					
					Pollux	10	10					
31984131	Benchmarking of long-read assemblers for prokaryote whole genome sequencing.	Figure 1a	fully complete+complete chromosome	Figure 1d	Canu	4	7	7				
					Flye	2	6					
					Miniasm-Minipolish	3	4					NB: NECAT slightly slower than Miniasm, confirmed in Fig2. 
					NECAT	5	5					
					Raven	1	3					
					Redbean	6	2					
					Shasta	7	1					
28739658	Benchmarking Relatedness Inference Methods with Genome-Wide Data from Thousands of Relatives.	Figure1	(mean(%correctRelated)+%correctUnrelated)/2	Table 1	IBDseq	1	7	12			manually extracted data from figure 1, see spreadsheet in data directory.  	
					HaploScore	2	10					
					RefinedIBD	3	12					
					ERSA	4	11					
					germline	5	9					
					PC-Relate	6	4					
					PREST-plus	7	5					
					FASTLbd	8	8					
					PLINK	9	1					
					REAP	10	3					
					RelateAdmix	11	6					
					KING	12	2					
27256311	Benchmarking the next generation of homology inference tools.	Fig3a	AUC1000	Fig4	CS-BLAST	1	6	7				
					HHSEARCH	3	7					
					PHMMER	2	4					
					NCBI-BLAST	4	3					
					USEARCH	5	1					
					UBLAST	7	5					
					FASTA	6	2					
		Fig3b	AUC1000	Fig4	CS-BLAST	2	6	7				
					HHSEARCH	3	7					
					PHMMER	1	4					
					NCBI-BLAST	4	3					
					USEARCH	5	1					
					UBLAST	7	5					
					FASTA	6	2					
		Fig3c	AUC1000	Fig4	CS-BLAST	1	6	7				
					HHSEARCH	3	7					
					PHMMER	2	4					
					NCBI-BLAST	4	3					
					USEARCH	5	1					
					UBLAST	7	5					
					FASTA	6	2					
30658573	Comparative analysis of differential gene expression analysis tools for single-cell RNA sequencing data.	Fig2	AUC-ROC		SCDE	10	6	11				
					MAST	8	3					
					scDD	5	11					
					EMDomics	4	7					
					D3E	6	10					
					Monocle2	9	4					
					SINCERA	11	1					
					edgeR	7	2					
					DESeq2	3	5					
					DEsingle	2	9					
					SigEMD	1	8					
32138645	Comparative study of whole exome sequencing-based copy number variation detection tools.	Table 4	Sensitivity	Fig6	CNVkit	1	4	4				
					cn.MOPS	2	1					
					ExomeCopy	3	2					
