logOdds	traingFreq	backgroundFreq	word
-8.00	0.0000	0.0026	associated
-7.77	0.0000	0.0022	patients
-7.68	0.0000	0.0020	binding
-7.60	0.0000	0.0019	expressed
-7.51	0.0000	0.0018	pathways
-7.44	0.0000	0.0017	network
-7.42	0.0000	0.0017	involved
-7.24	0.0000	0.0015	regulated
-7.22	0.0000	0.0015	levels
-7.19	0.0000	0.0014	revealed
-7.13	0.0000	0.0014	mutations
-7.10	0.0000	0.0014	drug
-7.09	0.0000	0.0014	response
-7.07	0.0000	0.0013	tumor
-7.02	0.0000	0.0013	system
-7.00	0.0000	0.0013	activity
-7.00	0.0000	0.0013	induced
-6.99	0.0000	0.0013	signaling
-6.96	0.0000	0.0012	growth
-6.86	0.0000	0.0012	acid
-6.81	0.0000	0.0011	differentially
-6.79	0.0000	0.0011	networks
-6.73	0.0000	0.0011	domain
-6.64	0.0000	0.0010	changes
-6.63	0.0000	0.0010	tissue
-6.63	0.0000	0.0010	group
-6.58	0.0000	0.0009	amino
-6.53	0.0000	0.0009	microarray
-6.50	0.0000	0.0009	proliferation
-6.50	0.0000	0.0009	quantitative
-6.48	0.0000	0.0009	region
-6.46	0.0000	0.0009	mutation
-6.44	0.0000	0.0009	peptide
-6.42	0.0000	0.0008	normal
-6.42	0.0000	0.0008	assay
-6.42	0.0000	0.0008	stress
-6.40	0.0000	0.0008	virus
-6.39	0.0000	0.0008	immune
-6.36	0.0000	0.0008	demonstrated
-6.35	0.0000	0.0008	roles
-6.33	0.0000	0.0008	resistance
-6.27	0.0000	0.0008	receptor
-6.25	0.0000	0.0008	apoptosis
-6.24	0.0000	0.0007	infection
-6.24	0.0000	0.0007	confirmed
-6.19	0.0000	0.0007	biomarkers
-6.17	0.0000	0.0007	putative
-6.14	0.0000	0.0007	peptides
-6.14	0.0000	0.0007	therapeutic
-6.10	0.0000	0.0007	breast
-6.09	0.0000	0.0007	targeting
-6.07	0.0000	0.0007	lines
-6.07	0.0000	0.0007	metabolic
-6.04	0.0000	0.0006	lung
-6.03	0.0000	0.0006	indicated
-6.03	0.0000	0.0006	profiling
-6.02	0.0000	0.0006	vitro
-6.00	0.0000	0.0006	predict
-5.99	0.0000	0.0006	metabolism
-5.98	0.0000	0.0006	assays
-5.96	0.0000	0.0006	mice
-5.93	0.0000	0.0006	integrated
-5.91	0.0000	0.0006	diagnosis
-5.90	0.0000	0.0006	targeted
-5.87	0.0000	0.0006	progression
-5.86	0.0000	0.0006	mediated
-5.86	0.0000	0.0006	snps
-5.86	0.0000	0.0006	characterized
-5.85	0.0000	0.0006	cycle
-5.84	0.0000	0.0006	viral
-5.83	0.0000	0.0006	unique
-5.83	0.0000	0.0006	liver
-5.82	0.0000	0.0006	proteome
-5.82	0.0000	0.0006	population
-5.81	0.0000	0.0006	relevant
-5.81	0.0000	0.0006	differentiation
-5.80	0.0000	0.0005	variant
-5.78	0.0000	0.0005	investigate
-5.77	0.0000	0.0005	promoter
-5.76	0.0000	0.0005	enzyme
-5.76	0.0000	0.0005	invasion
-5.76	0.0000	0.0005	strains
-5.76	0.0000	0.0005	membrane
-5.75	0.0000	0.0005	molecules
-5.75	0.0000	0.0005	kinase
-5.74	0.0000	0.0005	fold
-5.74	0.0000	0.0005	health
-5.73	0.0000	0.0005	containing
-5.73	0.0000	0.0005	luciferase
-5.72	0.0000	0.0005	vivo
-5.71	0.0000	0.0005	silico
-5.71	0.0000	0.0005	controls
-5.71	0.0000	0.0005	pipeline
-5.70	0.0000	0.0005	free
-5.70	0.0000	0.0005	screening
-5.70	0.0000	0.0005	degs
-5.70	0.0000	0.0005	carcinoma
-5.69	0.0000	0.0005	brain
-5.69	0.0000	0.0005	support
-5.68	0.0000	0.0005	survival
-5.66	0.0000	0.0005	primary
-5.66	0.0000	0.0005	formation
-5.66	0.0000	0.0005	patient
-5.66	0.0000	0.0005	activation
-5.66	0.0000	0.0005	responses
-5.65	0.0000	0.0005	package
-5.64	0.0000	0.0005	chain
-5.63	0.0000	0.0005	anti
-5.62	0.0000	0.0005	enrichment
-5.61	0.0000	0.0005	stage
-5.56	0.0000	0.0005	blood
-5.56	0.0000	0.0005	enzymes
-5.55	0.0000	0.0005	stem
-5.55	0.0000	0.0005	decreased
-5.55	0.0000	0.0005	pathogenesis
-5.54	0.0000	0.0005	ontology
-5.54	0.0000	0.0005	specificity
-5.54	0.0000	0.0005	direct
-5.53	0.0000	0.0005	migration
-5.53	0.0000	0.0005	overexpression
-5.53	0.0000	0.0005	active
-5.52	0.0000	0.0004	drugs
-5.51	0.0000	0.0004	integration
-5.50	0.0000	0.0004	enriched
-5.50	0.0000	0.0004	western
-5.50	0.0000	0.0004	metastasis
-5.48	0.0000	0.0004	loci
-5.45	0.0000	0.0004	epitopes
-5.45	0.0000	0.0004	members
-5.44	0.0000	0.0004	secondary
-5.44	0.0000	0.0004	interface
-5.43	0.0000	0.0004	phosphorylation
-5.43	0.0000	0.0004	regulate
-5.43	0.0000	0.0004	correlation
-5.42	0.0000	0.0004	clustering
-5.41	0.0000	0.0004	cluster
-5.41	0.0000	0.0004	reporter
-5.40	0.0000	0.0004	diagnostic
-5.39	0.0000	0.0004	motif
-5.37	0.0000	0.0004	suggested
-5.37	0.0000	0.0004	cause
-5.36	0.0000	0.0004	strain
-5.36	0.0000	0.0004	serum
-5.35	0.0000	0.0004	acids
-5.35	0.0000	0.0004	medicine
-5.34	0.0000	0.0004	vaccine
-5.33	0.0000	0.0004	testing
-5.33	0.0000	0.0004	suggesting
-5.32	0.0000	0.0004	correlated
-5.31	0.0000	0.0004	linked
-5.31	0.0000	0.0004	inhibition
-5.31	0.0000	0.0004	importance
-5.31	0.0000	0.0004	clusters
-5.30	0.0000	0.0004	mitochondrial
-5.30	0.0000	0.0004	following
-5.28	0.0000	0.0004	therapy
-5.28	0.0000	0.0004	regulating
-5.28	0.0000	0.0004	inflammatory
-5.28	0.0000	0.0004	viruses
-5.28	0.0000	0.0004	characteristics
-5.28	0.0000	0.0004	cancers
-5.28	0.0000	0.0004	gastric
-5.27	0.0000	0.0004	biomarker
-5.25	0.0000	0.0004	recombinant
-5.25	0.0000	0.0004	detect
-5.25	0.0000	0.0004	encoding
-5.23	0.0000	0.0004	contribute
-5.23	0.0000	0.0004	altered
-5.22	0.0000	0.0004	potentially
-5.22	0.0000	0.0004	distribution
-5.22	0.0000	0.0004	individuals
-5.20	0.0000	0.0004	components
-5.20	0.0000	0.0004	tumors
-5.19	0.0000	0.0004	visualization
-5.19	0.0000	0.0004	candidates
-5.19	0.0000	0.0004	nuclear
-5.18	0.0000	0.0004	dynamics
-5.18	0.0000	0.0004	healthy
-5.18	0.0000	0.0004	inhibitor
-5.18	0.0000	0.0004	interest
-5.16	0.0000	0.0003	translational
-5.16	0.0000	0.0003	form
-5.14	0.0000	0.0003	polymorphisms
-5.13	0.0000	0.0003	biochemical
-5.13	0.0000	0.0003	plays
-5.13	0.0000	0.0003	natural
-5.12	0.0000	0.0003	pathogenic
-5.11	0.0000	0.0003	inhibited
-5.11	0.0000	0.0003	upregulated
-5.11	0.0000	0.0003	omics
-5.09	0.0000	0.0003	surface
-5.09	0.0000	0.0003	infected
-5.08	0.0000	0.0003	cdna
-5.08	0.0000	0.0003	antibody
-5.08	0.0000	0.0003	ovarian
-5.08	0.0000	0.0003	isolated
-5.07	0.0000	0.0003	local
-5.06	0.0000	0.0003	values
