testId	accuracyRank	speedRank	method
17151342:Fig2A:medianrankMCC:Fig2C	1.000	0.091	rsearch
17151342:Fig2A:medianrankMCC:Fig2C	0.909	0.000	infernal
17151342:Fig2A:medianrankMCC:Fig2C	0.818	0.273	ravenna
17151342:Fig2A:medianrankMCC:Fig2C	0.727	0.364	sam
17151342:Fig2A:medianrankMCC:Fig2C	0.500	0.545	hmmer
17151342:Fig2A:medianrankMCC:Fig2C	0.500	0.455	wublast
17151342:Fig2A:medianrankMCC:Fig2C	0.500	0.636	ssearch
17151342:Fig2A:medianrankMCC:Fig2C	0.500	0.909	fasta
17151342:Fig2A:medianrankMCC:Fig2C	0.273	0.818	ncbiblast
17151342:Fig2A:medianrankMCC:Fig2C	0.182	1.000	paralign
17151342:Fig2A:medianrankMCC:Fig2C	0.091	0.182	rsmatch
17151342:Fig2A:medianrankMCC:Fig2C	0.000	0.727	erpin
17151342:Fig2B:medianrankMCC:Fig2C	0.909	0.091	rsearch
17151342:Fig2B:medianrankMCC:Fig2C	1.000	0.000	infernal
17151342:Fig2B:medianrankMCC:Fig2C	0.818	0.273	ravenna
17151342:Fig2B:medianrankMCC:Fig2C	0.727	0.364	sam
17151342:Fig2B:medianrankMCC:Fig2C	0.591	0.545	hmmer
17151342:Fig2B:medianrankMCC:Fig2C	0.182	0.455	wublast
17151342:Fig2B:medianrankMCC:Fig2C	0.591	0.636	ssearch
17151342:Fig2B:medianrankMCC:Fig2C	0.364	0.909	fasta
17151342:Fig2B:medianrankMCC:Fig2C	0.364	0.818	ncbiblast
17151342:Fig2B:medianrankMCC:Fig2C	0.364	1.000	paralign
17151342:Fig2B:medianrankMCC:Fig2C	0.091	0.182	rsmatch
17151342:Fig2B:medianrankMCC:Fig2C	0.000	0.727	erpin
17151342:Fig3A:medianrankMCC:Fig3C	0.500	0.000	ssearch
17151342:Fig3A:medianrankMCC:Fig3C	1.000	0.500	fasta
17151342:Fig3A:medianrankMCC:Fig3C	0.500	1.000	wublast
17151342:Fig3A:medianrankMCC:Fig3C	0.500	0.250	ncbiblast
17151342:Fig3A:medianrankMCC:Fig3C	0.000	0.750	paralign
17151342:Fig3B:medianrankMCC:Fig3C	1.000	0.000	ssearch
17151342:Fig3B:medianrankMCC:Fig3C	0.500	0.500	fasta
17151342:Fig3B:medianrankMCC:Fig3C	0.500	1.000	wublast
17151342:Fig3B:medianrankMCC:Fig3C	0.500	0.250	ncbiblast
17151342:Fig3B:medianrankMCC:Fig3C	0.000	0.750	paralign
20047664:Fig3cf:Averagetopologicalerrorrate:Table31000taxa20SF1SG	0.000	0.000	wmrpmp
20047664:Fig3cf:Averagetopologicalerrorrate:Table31000taxa20SF1SG	0.250	0.750	mrpmp
20047664:Fig3cf:Averagetopologicalerrorrate:Table31000taxa20SF1SG	0.500	0.500	camp
20047664:Fig3cf:Averagetopologicalerrorrate:Table31000taxa20SF1SG	0.750	1.000	mrpml
20047664:Fig3cf:Averagetopologicalerrorrate:Table31000taxa20SF1SG	1.000	0.250	caml
25198770:Fig2ASaureusCOLMis2x150bp:NGA50:Fig3A	0.625	0.625	abyss
25198770:Fig2ASaureusCOLMis2x150bp:NGA50:Fig3A	0.188	1.000	clc
25198770:Fig2ASaureusCOLMis2x150bp:NGA50:Fig3A	0.750	0.875	soap
25198770:Fig2ASaureusCOLMis2x150bp:NGA50:Fig3A	0.875	0.750	velvet
25198770:Fig2ASaureusCOLMis2x150bp:NGA50:Fig3A	1.000	0.375	spades
25198770:Fig2ASaureusCOLMis2x150bp:NGA50:Fig3A	0.188	0.000	celera
25198770:Fig2ASaureusCOLMis2x150bp:NGA50:Fig3A	0.500	0.250	newbler
25198770:Fig2ASaureusCOLMis2x150bp:NGA50:Fig3A	0.000	0.500	seqman
25198770:Fig2ASaureusCOLMis2x150bp:NGA50:Fig3A	0.375	0.125	mira
25198770:Fig2BSaureusCOLMis2x150bp:Misassemblies:Fig3A	0.375	0.625	abyss
25198770:Fig2BSaureusCOLMis2x150bp:Misassemblies:Fig3A	0.625	1.000	clc
25198770:Fig2BSaureusCOLMis2x150bp:Misassemblies:Fig3A	0.250	0.875	soap
25198770:Fig2BSaureusCOLMis2x150bp:Misassemblies:Fig3A	0.750	0.750	velvet
25198770:Fig2BSaureusCOLMis2x150bp:Misassemblies:Fig3A	1.000	0.375	spades
25198770:Fig2BSaureusCOLMis2x150bp:Misassemblies:Fig3A	0.000	0.000	celera
25198770:Fig2BSaureusCOLMis2x150bp:Misassemblies:Fig3A	0.125	0.250	newbler
25198770:Fig2BSaureusCOLMis2x150bp:Misassemblies:Fig3A	0.875	0.500	seqman
25198770:Fig2BSaureusCOLMis2x150bp:Misassemblies:Fig3A	0.500	0.125	mira
25198770:Fig2AEcoliSAKAIMis2x150bp:NGA50:Fig3A	0.625	0.625	abyss
25198770:Fig2AEcoliSAKAIMis2x150bp:NGA50:Fig3A	0.625	1.000	clc
25198770:Fig2AEcoliSAKAIMis2x150bp:NGA50:Fig3A	0.625	0.750	soap
25198770:Fig2AEcoliSAKAIMis2x150bp:NGA50:Fig3A	0.625	0.875	velvet
25198770:Fig2AEcoliSAKAIMis2x150bp:NGA50:Fig3A	1.000	0.375	spades
25198770:Fig2AEcoliSAKAIMis2x150bp:NGA50:Fig3A	0.625	0.000	celera
25198770:Fig2AEcoliSAKAIMis2x150bp:NGA50:Fig3A	0.125	0.500	newbler
25198770:Fig2AEcoliSAKAIMis2x150bp:NGA50:Fig3A	0.250	0.250	seqman
25198770:Fig2AEcoliSAKAIMis2x150bp:NGA50:Fig3A	0.000	0.125	mira
25198770:Fig2BEcoliSAKAIMis2x150bp:Misassemblies:Fig3A	0.625	0.625	abyss
25198770:Fig2BEcoliSAKAIMis2x150bp:Misassemblies:Fig3A	0.750	1.000	clc
25198770:Fig2BEcoliSAKAIMis2x150bp:Misassemblies:Fig3A	0.000	0.750	soap
25198770:Fig2BEcoliSAKAIMis2x150bp:Misassemblies:Fig3A	0.375	0.875	velvet
25198770:Fig2BEcoliSAKAIMis2x150bp:Misassemblies:Fig3A	1.000	0.375	spades
25198770:Fig2BEcoliSAKAIMis2x150bp:Misassemblies:Fig3A	0.500	0.000	celera
25198770:Fig2BEcoliSAKAIMis2x150bp:Misassemblies:Fig3A	0.125	0.500	newbler
25198770:Fig2BEcoliSAKAIMis2x150bp:Misassemblies:Fig3A	0.875	0.250	seqman
25198770:Fig2BEcoliSAKAIMis2x150bp:Misassemblies:Fig3A	0.250	0.125	mira
25198770:Fig2ASaureusCOLMis2x250bp:NGA50:Fig3A	0.250	0.625	abyss
25198770:Fig2ASaureusCOLMis2x250bp:NGA50:Fig3A	0.625	1.000	clc
25198770:Fig2ASaureusCOLMis2x250bp:NGA50:Fig3A	0.125	0.875	soap
25198770:Fig2ASaureusCOLMis2x250bp:NGA50:Fig3A	0.375	0.750	velvet
25198770:Fig2ASaureusCOLMis2x250bp:NGA50:Fig3A	0.750	0.250	spades
25198770:Fig2ASaureusCOLMis2x250bp:NGA50:Fig3A	0.500	0.000	celera
25198770:Fig2ASaureusCOLMis2x250bp:NGA50:Fig3A	1.000	0.500	newbler
25198770:Fig2ASaureusCOLMis2x250bp:NGA50:Fig3A	0.000	0.375	seqman
25198770:Fig2ASaureusCOLMis2x250bp:NGA50:Fig3A	0.875	0.125	mira
25198770:Fig2BSaureusCOLMis2x250bp:Misassemblies:Fig3A	0.562	0.625	abyss
25198770:Fig2BSaureusCOLMis2x250bp:Misassemblies:Fig3A	0.750	1.000	clc
25198770:Fig2BSaureusCOLMis2x250bp:Misassemblies:Fig3A	0.375	0.875	soap
25198770:Fig2BSaureusCOLMis2x250bp:Misassemblies:Fig3A	0.250	0.750	velvet
25198770:Fig2BSaureusCOLMis2x250bp:Misassemblies:Fig3A	0.938	0.250	spades
25198770:Fig2BSaureusCOLMis2x250bp:Misassemblies:Fig3A	0.562	0.000	celera
25198770:Fig2BSaureusCOLMis2x250bp:Misassemblies:Fig3A	0.000	0.500	newbler
25198770:Fig2BSaureusCOLMis2x250bp:Misassemblies:Fig3A	0.938	0.375	seqman
25198770:Fig2BSaureusCOLMis2x250bp:Misassemblies:Fig3A	0.125	0.125	mira
25198770:Fig2AEcoliSAKAIMis2x250bp:NGA50:Fig3A	0.500	0.625	abyss
25198770:Fig2AEcoliSAKAIMis2x250bp:NGA50:Fig3A	0.875	1.000	clc
25198770:Fig2AEcoliSAKAIMis2x250bp:NGA50:Fig3A	0.000	0.750	soap
25198770:Fig2AEcoliSAKAIMis2x250bp:NGA50:Fig3A	0.125	0.875	velvet
25198770:Fig2AEcoliSAKAIMis2x250bp:NGA50:Fig3A	0.875	0.250	spades
25198770:Fig2AEcoliSAKAIMis2x250bp:NGA50:Fig3A	0.375	0.000	celera
25198770:Fig2AEcoliSAKAIMis2x250bp:NGA50:Fig3A	0.875	0.500	newbler
25198770:Fig2AEcoliSAKAIMis2x250bp:NGA50:Fig3A	0.250	0.375	seqman
25198770:Fig2AEcoliSAKAIMis2x250bp:NGA50:Fig3A	0.625	0.125	mira
